CustomerID,TotalRevenue,TotalInvoices,ReturnedItems,BoughtItems,AvgBasketSize,AvgSubtotal,AvgItemCost,RecentPurDate
12347.0,1323.32,2,0.0,828.0,414.0,661.66,1.5982125603864734,2010-12-07 14:57:00
12348.0,222.16,1,0.0,373.0,373.0,222.16,0.595603217158177,2010-09-27 14:59:00
12349.0,2646.99,4,5.0,993.0,248.25,661.7475,2.6656495468277943,2010-10-28 08:23:00
12351.0,300.93,1,0.0,261.0,261.0,300.93,1.1529885057471265,2010-11-29 15:23:00
12352.0,343.8,2,0.0,188.0,94.0,171.9,1.8287234042553193,2010-11-29 10:07:00
12353.0,317.76,1,0.0,192.0,192.0,317.76,1.655,2010-10-27 12:44:00
12355.0,488.21000000000004,1,0.0,303.0,303.0,488.21000000000004,1.6112541254125414,2010-05-21 11:59:00
12356.0,3562.25,3,0.0,1826.0,608.6666666666666,1187.4166666666667,1.9508488499452354,2010-11-24 12:24:00
12357.0,12079.99,2,0.0,3879.0,1939.5,6039.995,3.1142021139468934,2010-11-16 14:29:00
12358.0,2719.01,3,0.0,831.0,277.0,906.3366666666667,3.271973525872443,2010-11-29 10:56:00
12359.0,2469.36,8,216.0,1130.0,141.25,308.67,2.185274336283186,2010-10-10 11:16:00
12360.0,1550.83,6,1.0,1294.0,215.66666666666666,258.47166666666664,1.1984775888717156,2010-11-25 11:04:00
12361.0,321.35,3,0.0,144.0,48.0,107.11666666666667,2.2315972222222222,2010-09-03 15:19:00
12362.0,130.0,1,0.0,1.0,1.0,130.0,130.0,2009-12-01 10:10:00
12366.0,500.24,1,0.0,296.0,296.0,500.24,1.69,2010-03-16 10:28:00
12368.0,917.6999999999999,1,0.0,330.0,330.0,917.6999999999999,2.7809090909090908,2010-03-21 15:56:00
12369.0,1791.1499999999999,3,0.0,1241.0,413.6666666666667,597.05,1.4433118452860596,2010-10-22 13:13:00
12370.0,774.62,3,0.0,252.0,84.0,258.20666666666665,3.073888888888889,2010-03-25 12:10:00
12371.0,2179.42,3,0.0,845.0,281.6666666666667,726.4733333333334,2.5791952662721895,2010-10-26 13:37:00
12373.0,763.0500000000001,2,0.0,319.0,159.5,381.52500000000003,2.3920062695924766,2010-03-25 13:49:00
12374.0,2246.29,3,0.0,1020.0,340.0,748.7633333333333,2.202245098039216,2010-10-14 13:31:00
12376.0,503.15,2,0.0,240.0,120.0,251.575,2.096458333333333,2010-11-15 12:15:00
12377.0,1798.2,2,0.0,1161.0,580.5,899.1,1.5488372093023257,2010-11-23 19:24:00
12378.0,1407.7,1,0.0,787.0,787.0,1407.7,1.7886912325285897,2010-05-26 14:07:00
12379.0,767.98,2,0.0,408.0,204.0,383.99,1.8823039215686275,2010-10-13 14:46:00
12380.0,5167.4400000000005,10,29.0,2228.0,222.8,516.744,2.319317773788151,2010-11-23 12:06:00
12385.0,1923.4,2,1.0,612.0,306.0,961.7,3.14281045751634,2010-11-25 15:19:00
12386.0,258.9,1,0.0,214.0,214.0,258.9,1.2098130841121495,2010-12-08 09:53:00
12387.0,143.94,1,0.0,134.0,134.0,143.94,1.074179104477612,2010-10-20 16:27:00
