CustomerID,TotalRevenue,Score_TotalRevenue
18102.0,341776.73,100.0
14646.0,243853.05,99.97671169073126
14156.0,183180.55,99.9534233814625
14911.0,137675.91,99.93013507219376
13694.0,128172.42,99.90684676292501
17511.0,83760.6,99.88355845365626
15061.0,82162.74,99.86027014438751
16684.0,75610.17,99.83698183511876
13089.0,55828.31,99.81369352585003
16754.0,54558.18,99.79040521658128
15311.0,54093.73,99.76711690731253
17850.0,50414.5,99.74382859804378
13093.0,46332.26,99.72054028877504
17949.0,46144.75,99.69725197950629
17450.0,46097.22,99.67396367023754
16029.0,40808.3,99.6506753609688
15838.0,40053.35,99.62738705170004
14298.0,39626.87,99.6040987424313
12931.0,37836.86,99.58081043316255
13798.0,37222.05,99.5575221238938
15769.0,32445.66,99.53423381462507
13902.0,30411.26,99.5109455053563
13081.0,30363.670000000002,99.48765719608757
13777.0,30268.22,99.46436888681882
17841.0,29175.41,99.44108057755007
16705.0,28707.011,99.41779226828132
14680.0,27869.0,99.39450395901258
13881.0,27402.98,99.37121564974383
16422.0,27304.85,99.34792734047508
17940.0,24976.44,99.32463903120633
14031.0,23391.33,99.30135072193758
13408.0,23365.442,99.27806241266885
17389.0,23286.95,99.2547741034001
16779.0,22527.56,99.23148579413134
18251.0,21964.14,99.20819748486261
12482.0,21893.53,99.18490917559384
13802.0,21585.29,99.16162086632511
12709.0,21018.51,99.13833255705636
12748.0,20898.03,99.11504424778761
17920.0,20305.81,99.09175593851887
15039.0,19956.55,99.06846762925011
17381.0,19726.76,99.04517931998137
17677.0,19647.41,99.02189101071262
12415.0,19543.84,98.99860270144387
16013.0,19422.67,98.97531439217514
12471.0,19207.69,98.95202608290639
14606.0,18380.53,98.92873777363764
14258.0,18377.27,98.90544946436889
12921.0,18249.71,98.88216115510014
13767.0,18169.97,98.85887284583139
14527.0,18063.16,98.83558453656265
18008.0,17670.94,98.8122962272939
15856.0,17643.77,98.78900791802515
17675.0,17507.74,98.76571960875641
16210.0,17217.760000000002,98.74243129948765
12681.0,16874.17,98.71914299021891
15523.0,16808.03,98.69585468095016
13078.0,16451.55,98.67256637168141
12678.0,16262.87,98.64927806241268
17404.0,15706.0,98.62598975314391
17865.0,15490.51,98.60270144387518
13564.0,15138.980000000001,98.57941313460643
15768.0,14977.63,98.55612482533768
